LGA,State,Geopolitical zone, Total killed , # of incidents with killing , Total civilians killed ,Christians,Muslims,ATR,Unknown, Security Forces , Terror Groups ,Index
Aba North,Abia,South East,9,5,5,5, -   , -   , -   ,1,3, Aba NorthAbiaSouth East 
Aba South,Abia,South East,49,24,32,21, -   , -   ,11,5,12, Aba SouthAbiaSouth East 
Abadam,Borno,North East,826,58,31,6,8, -   ,17,80,715, AbadamBornoNorth East 
Abadan,Borno,North East,176,26, -   , -   , -   , -   , -   ,96,80, AbadanBornoNorth East 
Abaji,Abuja FCT,North Central,24,15,22,4,7, -   ,11, -   ,2, AbajiAbuja FCTNorth Central 
Abak,Akwa Ibom,South South,2,2,1, -   , -   , -   ,1, -   ,1, AbakAkwa IbomSouth South 
Abakaliki,Ebonyi,South East,14,8,8,1, -   , -   ,7,3,3, AbakalikiEbonyiSouth East 
Abakaliki ,Ebonyi,South East,26,14,16,16, -   , -   , -   ,8,2, Abakaliki EbonyiSouth East 
Abeokuta North,Ogun,South West,15,12,10,6,2, -   ,2,3,2, Abeokuta NorthOgunSouth West 
Abeokuta North,Ogun,South West,6,6,5,4,1, -   , -   , -   ,1, Abeokuta NorthOgunSouth West 
Abeokuta South,Ogun,South West,21,10,19,2,4, -   ,13, -   ,2, Abeokuta SouthOgunSouth West 
Abeokuta South,Ogun,South West,19,10,17,9,4,4, -   , -   ,2, Abeokuta SouthOgunSouth West 
Abi,Cross River,South South,2,1,2,2, -   , -   , -   , -   , -   , AbiCross RiverSouth South 
Aboh Mbaise,Imo,South East,14,8,13,8,2, -   ,3,1, -   , Aboh MbaiseImoSouth East 
Abua/Odual,Rivers,South South,3,2,1,1, -   , -   , -   ,2, -   , Abua/OdualRiversSouth South 
Abuja Municipal,Abuja FCT,North Central,73,45,63,20,11,1,31,5,5, Abuja MunicipalAbuja FCTNorth Central 
Adavi,Kogi,North Central,9,5,6, -   ,1, -   ,5,3, -   , AdaviKogiNorth Central 
Adiyani ,Jigawa,North West,3,1,3,3, -   , -   , -   , -   , -   , Adiyani JigawaNorth West 
Ado,Benue,North Central,184,20,180,170, -   , -   ,10,1,3, AdoBenueNorth Central 
Ado-Ekiti,Ekiti,South West,16,14,15,6,3, -   ,6, -   ,1, Ado-EkitiEkitiSouth West 
Ado-Odo/Ota,Ogun,South West,19,11,13,6, -   , -   ,7,1,5, Ado-Odo/OtaOgunSouth West 
Afijio,Oyo,South West,11,5,10,6,1,2,1,1, -   , AfijioOyoSouth West 
Afikpo North,Ebonyi,South East,17,7,12,9, -   , -   ,3,4,1, Afikpo NorthEbonyiSouth East 
Afikpo North ,Ebonyi,South East,2,1,2,2, -   , -   , -   , -   , -   , Afikpo North EbonyiSouth East 
Afikpo North LGA,Ebonyi,South East,1,1, -   , -   , -   , -   , -   , -   ,1, Afikpo North LGAEbonyiSouth East 
Afikpo South,Ebonyi,South East,7,3,7, -   , -   , -   ,7, -   , -   , Afikpo SouthEbonyiSouth East 
Afikpo South ,Ebonyi,South East,114,7,113,113, -   , -   , -   ,1, -   , Afikpo South EbonyiSouth East 
Agaie,Niger,North Central,13,7,11,8, -   , -   ,3, -   ,2, AgaieNigerNorth Central 
Agatu,Benue,North Central,163,35,163,126, -   , -   ,37, -   , -   , AgatuBenueNorth Central 
Agbadu,Kogi,North Central,15,2,15,15, -   , -   , -   , -   , -   , AgbaduKogiNorth Central 
Agege,Lagos,South West,18,11,8,3,1,1,3, -   ,10, AgegeLagosSouth West 
Aguata,Anambra,South East,76,23,34,30, -   , -   ,4,10,32, AguataAnambraSouth East 
Agwara,Niger,North Central,3,2,3,3, -   , -   , -   , -   , -   , AgwaraNigerNorth Central 
Ahiazu Mbaise,Imo,South East,2,2,2,1, -   , -   ,1, -   , -   , Ahiazu MbaiseImoSouth East 
Ahoada East,Rivers,South South,35,8,15,7, -   ,8, -   ,1,19, Ahoada EastRiversSouth South 
Ahoada West,Rivers,South South,36,15,34,26, -   , -   ,8, -   ,2, Ahoada WestRiversSouth South 
Aiyekire,Ekiti,South West,1,1,1, -   , -   , -   ,1, -   , -   , AiyekireEkitiSouth West 
Ajaokuta,Kogi,North Central,26,4,21,7,3, -   ,11,5, -   , AjaokutaKogiNorth Central 
Ajeromi-Ifelodun,Lagos,South West,11,6,7,4,1, -   ,2,1,3, Ajeromi-IfelodunLagosSouth West 
Akamkpa,Cross River,South South,2,2,1,1, -   , -   , -   ,1, -   , AkamkpaCross RiverSouth South 
Akinyele,Oyo,South West,54,39,47,11,1, -   ,35,3,4, AkinyeleOyoSouth West 
Akko,Gombe,North East,3,3,2,1,1, -   , -   , -   ,1, AkkoGombeNorth East 
Akoko North-East,Ondo,South West,28,13,27,14,3,1,9, -   ,1, Akoko North-EastOndoSouth West 
Akoko North-West,Ondo,South West,7,6,7,2, -   , -   ,5, -   , -   , Akoko North-WestOndoSouth West 
Akoko South-East,Ondo,South West,2,2,1,1, -   , -   , -   , -   ,1, Akoko South-EastOndoSouth West 
Akoko South-West,Ondo,South West,5,4,2,1, -   , -   ,1,1,2, Akoko South-WestOndoSouth West 
Akoko-Edo,Edo,South South,22,6,11,11, -   , -   , -   ,5,6, Akoko-EdoEdoSouth South 
Akpabuyo,Cross River,South South,30,10,19, -   , -   , -   ,19, -   ,11, AkpabuyoCross RiverSouth South 
Akuku-Toru,Rivers,South South,4,2,1,1, -   , -   , -   ,3, -   , Akuku-ToruRiversSouth South 
Akure North,Ondo,South West,13,10,13,5,1, -   ,7, -   , -   , Akure NorthOndoSouth West 
Akure South,Ondo,South West,28,21,27,15, -   ,1,11,1, -   , Akure SouthOndoSouth West 
Akwanga,Nasarawa,North Central,9,7,4,2,1, -   ,1,3,2, AkwangaNasarawaNorth Central 
Aleiro,Kebbi,North West,1,1,1, -   , -   , -   ,1, -   , -   , AleiroKebbiNorth West 
Alimosho,Lagos,South West,46,26,43,20,3, -   ,20,1,2, AlimoshoLagosSouth West 
Alkaleri,Bauchi,North East,91,15,50,14,36, -   , -   , -   ,41, AlkaleriBauchiNorth East 
Amowo Odofin,Lagos,South West,4,3,4, -   , -   , -   ,4, -   , -   , Amowo OdofinLagosSouth West 
Amuwo Odofin,Lagos,South West,5,4,4,3,1, -   , -   ,1, -   , Amuwo OdofinLagosSouth West 
Anambra East,Anambra,South East,23,8,13,3, -   , -   ,10,2,8, Anambra EastAnambraSouth East 
Anambra West,Anambra,South East,1,1, -   , -   , -   , -   , -   , -   ,1, Anambra WestAnambraSouth East 
Anaocha,Anambra,South East,25,7,6,6, -   , -   , -   ,12,7, AnaochaAnambraSouth East 
Anaocha ,Anambra,South East,1,1,1,1, -   , -   , -   , -   , -   , Anaocha AnambraSouth East 
Andoni,Rivers,South South,10,5,10,3, -   , -   ,7, -   , -   , AndoniRiversSouth South 
Aninri,Enugu,South East,2,1,2,2, -   , -   , -   , -   , -   , AninriEnuguSouth East 
Aniocha North,Delta,South South,12,9,11,9, -   , -   ,2,1, -   , Aniocha NorthDeltaSouth South 
Aniocha South,Delta,South South,30,20,15,3, -   ,3,9,6,9, Aniocha SouthDeltaSouth South 
Anka,Zamfara,North West,443,28,334,79,221, -   ,34,10,99, AnkaZamfaraNorth West 
Ankpa,Kogi,North Central,15,3,14,5, -   , -   ,9,1, -   , AnkpaKogiNorth Central 
Apa,Benue,North Central,233,26,229,210, -   , -   ,19,1,3, ApaBenueNorth Central 
Apapa,Lagos,South West,26,14,19,11, -   , -   ,8,1,6, ApapaLagosSouth West 
Ardo Kola,Taraba,North East,34,6,32,11,16, -   ,5,1,1, Ardo KolaTarabaNorth East 
Arewa Dandi,Kebbi,North West,7,1, -   , -   , -   , -   , -   ,7, -   , Arewa DandiKebbiNorth West 
Argungu,Kebbi,North West,1,1, -   , -   , -   , -   , -   ,1, -   , ArgunguKebbiNorth West 
Arochukwu,Abia,South East,16,5,3,1, -   , -   ,2,2,11, ArochukwuAbiaSouth East 
Asa,Kwara,North Central,12,10,10,2,4, -   ,4, -   ,2, AsaKwaraNorth Central 
Asari-Toru,Rivers,South South,4,3,3,3, -   , -   , -   ,1, -   , Asari-ToruRiversSouth South 
Askira/Uba,Borno,North East,451,47,199,150,19, -   ,30,36,216, Askira/UbaBornoNorth East 
Atakumosa East,Osun,South West,3,1, -   , -   , -   , -   , -   , -   ,3, Atakumosa EastOsunSouth West 
Atakumosa West,Osun,South West,14,5,7, -   , -   , -   ,7,3,4, Atakumosa WestOsunSouth West 
Atakunmosa East,Osun,South West,1,1,1,1, -   , -   , -   , -   , -   , Atakunmosa EastOsunSouth West 
Atakunmosa West,Osun,South West,7,4,4,4, -   , -   , -   ,2,1, Atakunmosa WestOsunSouth West 
Atiba,Oyo,South West,2,1, -   , -   , -   , -   , -   ,2, -   , AtibaOyoSouth West 
Atisbo,Oyo,South West,4,2,4, -   , -   , -   ,4, -   , -   , AtisboOyoSouth West 
Augie,Kebbi,North West,10,4,9,4,2, -   ,3, -   ,1, AugieKebbiNorth West 
Auyo,Jigawa,North West,1,1,1, -   ,1, -   , -   , -   , -   , AuyoJigawaNorth West 
Awe,Nasarawa,North Central,8,4,6,2, -   , -   ,4, -   ,2, AweNasarawaNorth Central 
Awgu,Enugu,South East,8,6,5,5, -   , -   , -   , -   ,3, AwguEnuguSouth East 
Awka North,Anambra,South East,41,11,31,23, -   , -   ,8, -   ,10, Awka NorthAnambraSouth East 
Awka South,Anambra,South East,77,34,53,38, -   , -   ,15,11,13, Awka SouthAnambraSouth East 
Ayamelum,Anambra,South East,35,10,33,11, -   , -   ,22,2, -   , AyamelumAnambraSouth East 
Babura,Jigawa,North West,3,3,2, -   ,1, -   ,1, -   ,1, BaburaJigawaNorth West 
Badagry,Lagos,South West,4,4,4, -   ,3, -   ,1, -   , -   , BadagryLagosSouth West 
Bade,Yobe,North East,30,6,26,2,1, -   ,23, -   ,4, BadeYobeNorth East 
Bagudo,Kebbi,North West,4,3,3,2,1, -   , -   , -   ,1, BagudoKebbiNorth West 
Bagwai,Kano,North West,2,1,2, -   , -   , -   ,2, -   , -   , BagwaiKanoNorth West 
Bakori,Katsina,North West,170,8,120,66,48,4,2,50, -   , BakoriKatsinaNorth West 
Bakura,Zamfara,North West,294,30,166,45,107, -   ,14,13,115, BakuraZamfaraNorth West 
Bakura,Niger,North Central,19,1, -   , -   , -   , -   , -   , -   ,19, BakuraNigerNorth Central 
Balanga,Gombe,North East,29,5,28,23, -   , -   ,5,1, -   , BalangaGombeNorth East 
Bali,Taraba,North East,254,28,246,169,22,12,43, -   ,8, BaliTarabaNorth East 
Bama,Borno,North East,2140,164,146,5,57, -   ,84,131,1863, BamaBornoNorth East 
Barkin Ladi,Plateau,North Central,154,52,141,124,1,1,15,4,9, Barkin LadiPlateauNorth Central 
Baruten,Kwara,North Central,7,3,6, -   ,1, -   ,5,1, -   , BarutenKwaraNorth Central 
Bassa,Plateau,North Central,615,157,607,442,14, -   ,151,7,1, BassaPlateauNorth Central 
Bassa,Kogi,North Central,17,3,17,14, -   , -   ,3, -   , -   , BassaKogiNorth Central 
Batagarawa,Katsina,North West,47,16,46,5,31, -   ,10, -   ,1, BatagarawaKatsinaNorth West 
Batsari,Katsina,North West,382,56,184,52,73, -   ,59,16,182, BatsariKatsinaNorth West 
Bauchi,Bauchi,North East,7,6,7, -   , -   , -   ,7, -   , -   , BauchiBauchiNorth East 
Bauchi ,Bauchi,North East,18,11,17,5,11,1, -   , -   ,1, Bauchi BauchiNorth East 
Bauchi Central Local Government Area,Bauchi,North East,3,1,3, -   ,3, -   , -   , -   , -   , Bauchi Central Local Government AreaBauchiNorth East 
Baure,Katsina,North West,1,1,1, -   ,1, -   , -   , -   , -   , BaureKatsinaNorth West 
Bayo,Borno,North East,18,3,18,2,16, -   , -   , -   , -   , BayoBornoNorth East 
Bekwarra,Cross River,South South,1,1,1,1, -   , -   , -   , -   , -   , BekwarraCross RiverSouth South 
Bende,Abia,South East,1,1, -   , -   , -   , -   , -   ,1, -   , BendeAbiaSouth East 
Biase,Cross River,South South,29,10,27,8, -   , -   ,19,2, -   , BiaseCross RiverSouth South 
Bida,Niger,North Central,8,1, -   , -   , -   , -   , -   , -   ,8, BidaNigerNorth Central 
Billiri,Gombe,North East,30,6,30,24,2, -   ,4, -   , -   , BilliriGombeNorth East 
Bindawa,Katsina,North West,2,1, -   , -   , -   , -   , -   , -   ,2, BindawaKatsinaNorth West 
Binji,Sokoto,North West,1,1,1, -   , -   , -   ,1, -   , -   , BinjiSokotoNorth West 
Birnin Gwari,Kaduna,North West,949,156,337,177,74, -   ,86,63,549, Birnin GwariKadunaNorth West 
Birnin Kebbi,Kebbi,North West,13,4,13, -   ,12, -   ,1, -   , -   , Birnin KebbiKebbiNorth West 
Birnin Kudu,Jigawa,North West,2,2,2,1, -   , -   ,1, -   , -   , Birnin KuduJigawaNorth West 
Birnin Magaji/Kiyaw,Zamfara,North West,180,11,19, -   ,16, -   ,3, -   ,161, Birnin Magaji/KiyawZamfaraNorth West 
Biu,Borno,North East,292,38,79,49,20, -   ,10,43,170, BiuBornoNorth East 
Bodinga,Sokoto,North West,2,2,2,1, -   , -   ,1, -   , -   , BodingaSokotoNorth West 
Bogoro,Bauchi,North East,1,1,1,1, -   , -   , -   , -   , -   , BogoroBauchiNorth East 
Boki,Cross River,South South,39,5,39,27, -   , -   ,12, -   , -   , BokiCross RiverSouth South 
Bokkos,Plateau,North Central,109,32,109,90,8, -   ,11, -   , -   , BokkosPlateauNorth Central 
Boluwaduro,Osun,South West,1,1,1,1, -   , -   , -   , -   , -   , BoluwaduroOsunSouth West 
Bomadi,Delta,South South,2,2,1, -   , -   , -   ,1,1, -   , BomadiDeltaSouth South 
Bonny,Rivers,South South,5,3,1, -   , -   , -   ,1, -   ,4, BonnyRiversSouth South 
Borgu,Niger,North Central,108,16,16,8,5, -   ,3,2,90, BorguNigerNorth Central 
Boripe,Osun,South West,4,2,4,4, -   , -   , -   , -   , -   , BoripeOsunSouth West 
Bosso,Niger,North Central,138,12,20,12,6, -   ,2,62,56, BossoNigerNorth Central 
Brass,Bayelsa,South South,8,4,8,8, -   , -   , -   , -   , -   , BrassBayelsaSouth South 
Bukkuyum,Zamfara,North West,378,35,206,37,134, -   ,35,4,168, BukkuyumZamfaraNorth West 
Bungudu,Zamfara,North West,322,48,237,22,99, -   ,116,27,58, BunguduZamfaraNorth West 
Bunza,Kebbi,North West,1,1,1, -   , -   , -   ,1, -   , -   , BunzaKebbiNorth West 
Bursari,Yobe,North East,34,5,7, -   , -   , -   ,7,14,13, BursariYobeNorth East 
Buruku,Benue,North Central,16,6,13,12, -   , -   ,1, -   ,3, BurukuBenueNorth Central 
Burutu,Delta,South South,5,5,5,4, -   , -   ,1, -   , -   , BurutuDeltaSouth South 
Bwari,Abuja FCT,North Central,17,10,15,14,1, -   , -   ,2, -   , BwariAbuja FCTNorth Central 
Calabar Municipal,Cross River,South South,35,16,19,3, -   , -   ,16,7,9, Calabar MunicipalCross RiverSouth South 
Calabar South,Cross River,South South,6,4,6,2, -   , -   ,4, -   , -   , Calabar SouthCross RiverSouth South 
Chanchaga,Niger,North Central,217,15,14,5,6, -   ,3,3,200, ChanchagaNigerNorth Central 
Charanchi,Katsina,North West,3,1,3, -   , -   , -   ,3, -   , -   , CharanchiKatsinaNorth West 
Chibok,Borno,North East,322,47,213,158,11, -   ,44,5,104, ChibokBornoNorth East 
Chikun,Kaduna,North West,1064,253,718,535,34, -   ,149,21,325, ChikunKadunaNorth West 
Damaturu,Yobe,North East,85,13,10, -   , -   , -   ,10,20,55, DamaturuYobeNorth East 
Dambatta        ,Kano,North West,3,1,3, -   , -   , -   ,3, -   , -   , Dambatta        KanoNorth West 
Damboa,Borno,North East,1002,121,119,30,28, -   ,61,265,618, DamboaBornoNorth East 
Dandume,Katsina,North West,48,17,26,1,13, -   ,12, -   ,22, DandumeKatsinaNorth West 
Dange Shuni,Sokoto,North West,2,2,2, -   ,1, -   ,1, -   , -   , Dange ShuniSokotoNorth West 
Danja,Katsina,North West,11,8,8,2,5, -   ,1, -   ,3, DanjaKatsinaNorth West 
Danko,Kebbi,North West,5,4,5, -   , -   , -   ,5, -   , -   , DankoKebbiNorth West 
Danmusa,Katsina,North West,321,47,120,5,41, -   ,74,12,189, DanmusaKatsinaNorth West 
Darazo,Bauchi,North East,1,1,1, -   , -   , -   ,1, -   , -   , DarazoBauchiNorth East 
Dass,Bauchi,North East,1,1,1, -   , -   , -   ,1, -   , -   , DassBauchiNorth East 
Daura,Katsina,North West,1,1, -   , -   , -   , -   , -   ,1, -   , DauraKatsinaNorth West 
Degema,Rivers,South South,11,3,7,7, -   , -   , -   , -   ,4, DegemaRiversSouth South 
Dekina,Kogi,North Central,35,16,33,19,7,1,6, -   ,2, DekinaKogiNorth Central 
Demsa,Adamawa,North East,3,2,1, -   ,1, -   , -   ,1,1, DemsaAdamawaNorth East 
Dikwa,Borno,North East,564,65,98,22,33, -   ,43,106,360, DikwaBornoNorth East 
Doma,Nasarawa,North Central,108,10,96,23,65, -   ,8,10,2, DomaNasarawaNorth Central 
Donga,Taraba,North East,67,23,63,46, -   , -   ,17, -   ,4, DongaTarabaNorth East 
Dukku,Gombe,North East,1,1, -   , -   , -   , -   , -   , -   ,1, DukkuGombeNorth East 
Dunukofia,Anambra,South East,3,3,2, -   ,1, -   ,1,1, -   , DunukofiaAnambraSouth East 
Dutse,Jigawa,North West,19,5,18,15,2, -   ,1,1, -   , DutseJigawaNorth West 
Dutsin-Ma,Katsina,North West,132,33,75,3,26, -   ,46,8,49, Dutsin-MaKatsinaNorth West 
Dutsinma,Katsina,North West,2,1,2, -   , -   , -   ,2, -   , -   , DutsinmaKatsinaNorth West 
Ebonyi,Ebonyi,South East,37,8,34, -   , -   , -   ,34,1,2, EbonyiEbonyiSouth East 
Ebonyi LGA,Ebonyi,South East,1,1, -   , -   , -   , -   , -   ,1, -   , Ebonyi LGAEbonyiSouth East 
Edati,Niger,North Central,3,1,3, -   , -   , -   ,3, -   , -   , EdatiNigerNorth Central 
Ede North,Osun,South West,13,7,10,5,2, -   ,3, -   ,3, Ede NorthOsunSouth West 
Edu,Kwara,North Central,4,2,4, -   ,1, -   ,3, -   , -   , EduKwaraNorth Central 
Egbeda,Oyo,South West,4,4,4,2,1, -   ,1, -   , -   , EgbedaOyoSouth West 
Egbedore,Osun,South West,3,3,2,1, -   , -   ,1,1, -   , EgbedoreOsunSouth West 
Egor,Edo,South South,10,9,10, -   , -   , -   ,10, -   , -   , EgorEdoSouth South 
Ehime Mbano,Imo,South East,20,6,2,2, -   , -   , -   ,17,1, Ehime MbanoImoSouth East 
Ejigbo,Osun,South West,6,2,6, -   , -   , -   ,6, -   , -   , EjigboOsunSouth West 
Ekeremor,Bayelsa,South South,4,2,3,3, -   , -   , -   , -   ,1, EkeremorBayelsaSouth South 
Ekermor,Bayelsa,South South,11,2,2, -   , -   , -   ,2,8,1, EkermorBayelsaSouth South 
Eket,Akwa Ibom,South South,18,7,18,6, -   , -   ,12, -   , -   , EketAkwa IbomSouth South 
Ekiti,Kwara,North Central,7,6,6,5, -   , -   ,1, -   ,1, EkitiKwaraNorth Central 
Ekiti East,Ekiti,South West,4,2,4, -   , -   , -   ,4, -   , -   , Ekiti EastEkitiSouth West 
Ekiti West,Ekiti,South West,3,2,1,1, -   , -   , -   ,2, -   , Ekiti WestEkitiSouth West 
Ekiti West,Ekiti,South West,1,1,1,1, -   , -   , -   , -   , -   , Ekiti WestEkitiSouth West 
Ekwusigo,Anambra,South East,25,9,9,2, -   , -   ,7,8,8, EkwusigoAnambraSouth East 
Eleme,Rivers,South South,20,6,13,4, -   , -   ,9, -   ,7, ElemeRiversSouth South 
Emohua,Rivers,South South,81,36,43,22, -   , -   ,21,14,24, EmohuaRiversSouth South 
Enugu East,Enugu,South East,19,12,13,11, -   , -   ,2,1,5, Enugu EastEnuguSouth East 
Enugu North,Enugu,South East,27,15,17,12, -   , -   ,5,6,4, Enugu NorthEnuguSouth East 
Enugu South,Enugu,South East,57,19,25,23, -   , -   ,2,26,6, Enugu SouthEnuguSouth East 
Epe,Lagos,South West,7,4,7,2,1, -   ,4, -   , -   , EpeLagosSouth West 
Esan Central,Edo,South South,7,2,1,1, -   , -   , -   , -   ,6, Esan CentralEdoSouth South 
Esan North East,Edo,South South,3,1,3,3, -   , -   , -   , -   , -   , Esan North EastEdoSouth South 
Esan North-East,Edo,South South,5,3,2, -   , -   , -   ,2,2,1, Esan North-EastEdoSouth South 
Esan West,Edo,South South,4,3,2,2, -   , -   , -   ,2, -   , Esan WestEdoSouth South 
Ese Odo,Ondo,South West,2,2,2,1, -   ,1, -   , -   , -   , Ese OdoOndoSouth West 
Essien Udim,Akwa Ibom,South South,12,5,1, -   , -   , -   ,1,8,3, Essien UdimAkwa IbomSouth South 
Etche,Rivers,South South,18,9,15,4, -   , -   ,11, -   ,3, EtcheRiversSouth South 
Ethiope East,Delta,South South,18,14,14,7, -   , -   ,7,3,1, Ethiope EastDeltaSouth South 
Ethiope West,Delta,South South,36,14,18,14,1, -   ,3, -   ,18, Ethiope WestDeltaSouth South 
Eti-Osa,Lagos,South West,11,10,11,7, -   , -   ,4, -   , -   , Eti-OsaLagosSouth West 
Etim Ekpo,Akwa Ibom,South South,8,5,4,2, -   , -   ,2,1,3, Etim EkpoAkwa IbomSouth South 
Etsako East,Edo,South South,12,4,7,3, -   , -   ,4,4,1, Etsako EastEdoSouth South 
Etsako West,Edo,South South,35,19,18,9, -   , -   ,9,5,12, Etsako WestEdoSouth South 
Ewekoro,Ogun,South West,13,6,9,3,1,4,1, -   ,4, EwekoroOgunSouth West 
Ezeagu,Enugu,South East,9,3,5,4,1, -   , -   ,4, -   , EzeaguEnuguSouth East 
Ezinihitte Mbaise,Imo,South East,4,3,3,3, -   , -   , -   , -   ,1, Ezinihitte MbaiseImoSouth East 
Ezza North,Ebonyi,South East,4,1,4, -   , -   , -   ,4, -   , -   , Ezza NorthEbonyiSouth East 
Ezza North ,Ebonyi,South East,8,7,4,4, -   , -   , -   ,3,1, Ezza North EbonyiSouth East 
Ezza South,Ebonyi,South East,3,1, -   , -   , -   , -   , -   ,3, -   , Ezza SouthEbonyiSouth East 
Ezza South ,Ebonyi,South East,18,1,18,18, -   , -   , -   , -   , -   , Ezza South EbonyiSouth East 
Fagge        ,Kano,North West,20,3,20,18,2, -   , -   , -   , -   , Fagge        KanoNorth West 
Fakai,Kebbi,North West,50,5,50,25,15, -   ,10, -   , -   , FakaiKebbiNorth West 
Farin gamu,Niger,North Central,2,1,2,2, -   , -   , -   , -   , -   , Farin gamuNigerNorth Central 
Faskari,Katsina,North West,602,79,465,160,142, -   ,163,4,133, FaskariKatsinaNorth West 
Fika,Yobe,North East,11,1,11, -   , -   , -   ,11, -   , -   , FikaYobeNorth East 
Fufore,Adamawa,North East,12,4,9, -   ,1, -   ,8, -   ,3, FuforeAdamawaNorth East 
Funtua,Katsina,North West,38,14,26,3,17, -   ,6,5,7, FuntuaKatsinaNorth West 
Gabasawa        ,Kano,North West,5,1,5, -   ,5, -   , -   , -   , -   , Gabasawa        KanoNorth West 
Gada,Sokoto,North West,1,1,1, -   , -   , -   ,1, -   , -   , GadaSokotoNorth West 
Gagarawa,Jigawa,North West,2,1,2, -   ,2, -   , -   , -   , -   , GagarawaJigawaNorth West 
Gamawa,Bauchi,North East,3,1, -   , -   , -   , -   , -   , -   ,3, GamawaBauchiNorth East 
Gamawa ,Bauchi,North East,2,1,2, -   ,2, -   , -   , -   , -   , Gamawa BauchiNorth East 
Ganjuwa ,Bauchi,North East,7,1,7,3,4, -   , -   , -   , -   , Ganjuwa BauchiNorth East 
Ganye,Adamawa,North East,7,4,3, -   , -   , -   ,3, -   ,4, GanyeAdamawaNorth East 
Garki,Jigawa,North West,6,3,3, -   , -   , -   ,3, -   ,3, GarkiJigawaNorth West 
Garko,Kano,North West,2,1,2, -   , -   , -   ,2, -   , -   , GarkoKanoNorth West 
Gashaka,Taraba,North East,2,2,2,1,1, -   , -   , -   , -   , GashakaTarabaNorth East 
Gassol,Taraba,North East,221,31,168,107,22, -   ,39, -   ,53, GassolTarabaNorth East 
Gbako,Niger,North Central,4,2,4, -   ,4, -   , -   , -   , -   , GbakoNigerNorth Central 
Gboko,Benue,North Central,31,10,30,17,2,1,10, -   ,1, GbokoBenueNorth Central 
Geidam,Yobe,North East,94,16,35,14,1, -   ,20,20,39, GeidamYobeNorth East 
Girei,Adamawa,North East,32,4,31,29, -   , -   ,2,1, -   , GireiAdamawaNorth East 
Giwa,Kaduna,North West,732,88,504,228,201, -   ,75,1,227, GiwaKadunaNorth West 
Gokana,Rivers,South South,4,3,4,3, -   , -   ,1, -   , -   , GokanaRiversSouth South 
Gombe,Gombe,North East,16,8,15,4,7, -   ,4, -   ,1, GombeGombeNorth East 
Gombi,Adamawa,North East,28,12,16,11, -   , -   ,5,6,6, GombiAdamawaNorth East 
Goronyo,Sokoto,North West,216,25,202,70,107,1,24, -   ,14, GoronyoSokotoNorth West 
Gubio,Borno,North East,346,30,211,126,39, -   ,46,38,97, GubioBornoNorth East 
Gudu,Sokoto,North West,6,3,2, -   ,1, -   ,1,4, -   , GuduSokotoNorth West 
Gujba,Yobe,North East,435,44,34,4,19, -   ,11,122,279, GujbaYobeNorth East 
Guma,Benue,North Central,742,150,707,657,4, -   ,46,16,19, GumaBenueNorth Central 
Gumel,Jigawa,North West,1,1,1, -   , -   , -   ,1, -   , -   , GumelJigawaNorth West 
Gummi,Zamfara,North West,141,17,105,30,60, -   ,15, -   ,36, GummiZamfaraNorth West 
Gurara,Niger,North Central,60,9,23,16,7, -   , -   ,12,25, GuraraNigerNorth Central 
Guri,Jigawa,North West,7,5,7, -   , -   , -   ,7, -   , -   , GuriJigawaNorth West 
"Guri, Jigawa",Jigawa,North West,16,5,6,4,2, -   , -   ,1,9," Guri, JigawaJigawaNorth West "
Gusau,Zamfara,North West,412,75,219,23,158, -   ,38,46,147, GusauZamfaraNorth West 
Guyuk,Adamawa,North East,39,5,39,3, -   , -   ,36, -   , -   , GuyukAdamawaNorth East 
